Priority,Category,Original (English),Translation (German),Context,References
1,Frontend,Evaluations,Bewertungen,,includes/admin/class-mt-admin.php:74
1,Frontend,No candidates found.,Keine Kandidaten gefunden.,,includes/ajax/class-mt-assignment-ajax.php:431
1,Frontend,Jury dashboard template not found.,Jury-Dashboard-Vorlage nicht gefunden.,,includes/core/class-mt-shortcodes.php:82
1,Frontend,Winners have not been announced yet.,Die Gewinner wurden noch nicht bekannt gegeben.,,includes/core/class-mt-shortcodes.php:198
1,Frontend,Relevanz für Mobilitätswende,Relevanz für Mobilitätswende,,includes/services/class-mt-evaluation-service.php:400
1,Frontend,Avg Score,Durchschnittswert,,templates/admin/coaching.php:62
1,Frontend,Average Scores by Criteria,Durchschnittliche Bewertungen nach Kriterien,,templates/admin/dashboard.php:46
1,Frontend,Evaluations by Category,Bewertungen nach Kategorie,,templates/frontend/evaluation-stats.php:71
1,Frontend,No category data available.,Keine Kategoriedaten verfügbar.,,templates/frontend/evaluation-stats.php:92
1,Frontend,Invalid candidate.,Ungültiger Kandidat.,,templates/frontend/jury-dashboard.php:22
1,Frontend,Courage to challenge conventions and pioneer new paths in mobility,"Mut, Konventionen herauszufordern und neue Wege in der Mobilität zu beschreiten",,templates/frontend/jury-evaluation-form.php:67
1,Frontend,Level of innovation and creative solutions for mobility challenges,Innovationsgrad und kreative Lösungen für Mobilitätsherausforderungen,,templates/frontend/jury-evaluation-form.php:73
1,Frontend,Implementation strength and real-world impact of initiatives,Umsetzungsstärke und praktische Auswirkungen der Initiativen,,templates/frontend/jury-evaluation-form.php:79
1,Frontend,Relevance and contribution to sustainable mobility transformation,Relevanz und Beitrag zur nachhaltigen Mobilitätswende,,templates/frontend/jury-evaluation-form.php:85
1,Frontend,Role model function and visibility in the mobility sector,Vorbildfunktion und Sichtbarkeit im Mobilitätssektor,,templates/frontend/jury-evaluation-form.php:91
1,Frontend,Überblick:,Überblick:,,templates/frontend/single/single-mt_candidate-backup.php:92
1,Frontend,Bewertung nach Kriterien:,Bewertung nach Kriterien:,,templates/frontend/single/single-mt_candidate-backup.php:103
1,Frontend,Persönlichkeit & Motivation:,Persönlichkeit & Motivation:,,templates/frontend/single/single-mt_candidate-backup.php:114
1,Frontend,The detailed profile information for this candidate is being prepared.,Die detaillierten Profilinformationen für diesen Kandidaten werden vorbereitet.,,templates/frontend/single/single-mt_candidate-backup.php:124
1,Frontend,Evaluate This Candidate,Diesen Kandidaten bewerten,,templates/frontend/single/single-mt_candidate-backup.php:134
1,Frontend,Profile Coming Soon,Profil folgt in Kürze,,templates/frontend/single/single-mt_candidate-enhanced.php:222
1,Frontend,The detailed profile information for this candidate is being prepared and will be available soon.,Die detaillierten Profilinformationen für diesen Kandidaten werden vorbereitet und sind in Kürze verfügbar.,,templates/frontend/single/single-mt_candidate-enhanced.php:223
1,Frontend,Award Year:,Auszeichnungsjahr:,,templates/frontend/single/single-mt_candidate-enhanced.php:262
1,Frontend,Jury Evaluation,Jury-Bewertung,,templates/frontend/single/single-mt_candidate-enhanced.php:273
1,Frontend,Evaluate this candidate based on the five criteria for the Mobility Trailblazers Award.,Bewerten Sie diesen Kandidaten anhand der fünf Kriterien für den Mobility Trailblazers Award.,,templates/frontend/single/single-mt_candidate-enhanced.php:276
1,Frontend,More Candidates,Weitere Kandidaten,,templates/frontend/single/single-mt_candidate-enhanced.php:290
1,Frontend,Previous,Zurück,,templates/frontend/single/single-mt_candidate-enhanced.php:302
1,Frontend,Next,Weiter,,templates/frontend/single/single-mt_candidate-enhanced.php:311
1,Frontend,Mobility Trailblazers %s Winners,Mobility Trailblazers %s Gewinner,,templates/frontend/winners-display.php:21
1,Frontend,Celebrating the pioneers shaping the future of mobility,"Wir feiern die Pioniere, die die Zukunft der Mobilität gestalten",,templates/frontend/winners-display.php:22